end_price,image_urls,img_url,model,model_url,shops,start_price
13499,https://s.ek.ua/jpg/1275356.jpg,https://s.ek.ua/jpg/1275356.jpg,Indesit IBS 18 AA,https://ek.ua/ua/ua/INDESIT-IBS-18-AA.htm,"Pro100market.com.ua,Denika.ua,Foroom.com.ua,Vodogreyka.com.ua,Zhuk.ua,Rozetka.ua",10584
13499,https://s.ek.ua/jpg/1275356.jpg,https://s.ek.ua/jpg/1275356.jpg,Indesit IBS 18 AA,https://ek.ua/ua/ua/INDESIT-IBS-18-AA.htm,"Pro100market.com.ua,Denika.ua,Foroom.com.ua,Vodogreyka.com.ua,Zhuk.ua,Rozetka.ua",10584
31780,https://s.ek.ua/jpg/1782791.jpg,https://s.ek.ua/jpg/1782791.jpg,Samsung RT62K7110SL,https://ek.ua/ua/ua/SAMSUNG-RT62K7110SL.htm,"AVR-group.com.ua,590.ua,Pro100market.com.ua,Denika.ua,Savecash.com.ua,Foroom.com.ua,Цифра",26599
31780,https://s.ek.ua/jpg/1782791.jpg,https://s.ek.ua/jpg/1782791.jpg,Samsung RT62K7110SL,https://ek.ua/ua/ua/SAMSUNG-RT62K7110SL.htm,"AVR-group.com.ua,590.ua,Pro100market.com.ua,Denika.ua,Savecash.com.ua,Foroom.com.ua,Цифра",26599
15335,https://s.ek.ua/jpg/1478010.jpg,https://s.ek.ua/jpg/1478010.jpg,Bosch KGN33NW20,https://ek.ua/ua/ua/BOSCH-KGN33NW20.htm,"Moyo.ua,590.ua,Bs-partner.com.ua,Pro100market.com.ua,Savecash.com.ua,Denika.ua,Foroom.com.ua",12333
15335,https://s.ek.ua/jpg/1478010.jpg,https://s.ek.ua/jpg/1478010.jpg,Bosch KGN33NW20,https://ek.ua/ua/ua/BOSCH-KGN33NW20.htm,"Moyo.ua,590.ua,Bs-partner.com.ua,Pro100market.com.ua,Savecash.com.ua,Denika.ua,Foroom.com.ua",12333
21304,https://s.ek.ua/jpg/406201.jpg,https://s.ek.ua/jpg/406201.jpg,Bosch KGV39VW31,https://ek.ua/ua/ua/BOSCH-KGV39VW31.htm,"Bs-partner.com.ua,Savecash.com.ua,Tendo.com.ua,575.in.ua,PermyCo,Cactus",13999
21304,https://s.ek.ua/jpg/406201.jpg,https://s.ek.ua/jpg/406201.jpg,Bosch KGV39VW31,https://ek.ua/ua/ua/BOSCH-KGV39VW31.htm,"Bs-partner.com.ua,Savecash.com.ua,Tendo.com.ua,575.in.ua,PermyCo,Cactus",13999
18727,https://s.ek.ua/jpg/715030.jpg,https://s.ek.ua/jpg/715030.jpg,Samsung RB30J3000WW,https://ek.ua/ua/ua/SAMSUNG-RB30J3000WW.htm,"AVR-group.com.ua,Eteka.com.ua,Foroom.com.ua,Megahit.com.ua,Timesport.prom.ua,Click24.in.ua,Zhuk.ua",12603
18727,https://s.ek.ua/jpg/715030.jpg,https://s.ek.ua/jpg/715030.jpg,Samsung RB30J3000WW,https://ek.ua/ua/ua/SAMSUNG-RB30J3000WW.htm,"AVR-group.com.ua,Eteka.com.ua,Foroom.com.ua,Megahit.com.ua,Timesport.prom.ua,Click24.in.ua,Zhuk.ua",12603
